0 Standard
1 Standard +1
2 Standard +2
3 Standard +3
4 Standard +4
5 Standard +5
6 Standard +6
7 Standard +7
8 Standard +8
9 Standard +9
10 Standard +10
100 Heavy
101 Heavy +1
102 Heavy +2
103 Heavy +3
104 Heavy +4
105 Heavy +5
106 Heavy +6
107 Heavy +7
108 Heavy +8
109 Heavy +9
110 Heavy +10
200 Sharp
201 Sharp +1
202 Sharp +2
203 Sharp +3
204 Sharp +4
205 Sharp +5
206 Sharp +6
207 Sharp +7
208 Sharp +8
209 Sharp +9
210 Sharp +10
300 Refined
301 Refined +1
302 Refined +2
303 Refined +3
304 Refined +4
305 Refined +5
306 Refined +6
307 Refined +7
308 Refined +8
309 Refined +9
310 Refined +10
400 Crystal
401 Crystal +1 
402 Crystal +2 
403 Crystal +3 
404 Crystal +4 
405 Crystal +5 
406 Crystal +6 
407 Crystal +7 
408 Crystal +8 
409 Crystal +9 
410 Crystal +10 
500 Simple 
501 Simple +1 
502 Simple +2 
503 Simple +3 
504 Simple +4 
505 Simple +5 
506 Simple +1 
507 Simple +2 
508 Simple +3 
509 Simple +4 
510 Simple +5 
600 Fire 
601 Fire +1 
602 Fire +2 
603 Fire +3 
604 Fire +4 
605 Fire +5 
606 Fire +6 
607 Fire +7 
608 Fire +8 
609 Fire +9 
610 Fire +10 
700 Chaos 
701 Chaos +1 
702 Chaos +2 
703 Chaos +3 
704 Chaos +4 
705 Chaos +5 
706 Chaos +6 
707 Chaos +7 
708 Chaos +8 
709 Chaos +9 
710 Chaos +10 
800 Lightning 
801 Lightning +1 
802 Lightning +2 
803 Lightning +3 
804 Lightning +4 
805 Lightning +5 
806 Lightning +6 
807 Lightning +7 
808 Lightning +8 
809 Lightning +9 
810 Lightning +10 
900 Deep 
901 Deep +1 
902 Deep +2 
903 Deep +3 
904 Deep +4 
905 Deep +5 
906 Deep +6 
907 Deep +7 
908 Deep +8 
909 Deep +9 
910 Deep +10 
1000 Dark 
1001 Dark +1 
1002 Dark +2 
1003 Dark +3 
1004 Dark +4 
1005 Dark +5 
1006 Dark +6 
1007 Dark +7 
1008 Dark +8 
1009 Dark +9 
1010 Dark +10 
1100 Poison 
1101 Poison +1 
1102 Poison +2 
1103 Poison +3 
1104 Poison +4 
1105 Poison +5 
1106 Poison +6 
1107 Poison +7 
1108 Poison +8 
1109 Poison +9 
1110 Poison +10 
1200 Blood 
1201 Blood +1 
1202 Blood +2 
1203 Blood +3 
1204 Blood +4 
1205 Blood +5 
1206 Blood +6 
1207 Blood +7 
1208 Blood +8 
1209 Blood +9 
1210 Blood +10 
1300 Raw 
1301 Raw +1 
1302 Raw +2 
1303 Raw +3 
1304 Raw +4 
1305 Raw +5 
1306 Raw +6 
1307 Raw +7 
1308 Raw +8 
1309 Raw +9 
1310 Raw +10 
1400 Blessed 
1401 Blessed +1 
1402 Blessed +2 
1403 Blessed +3 
1404 Blessed +4 
1405 Blessed +5 
1406 Blessed +6 
1407 Blessed +7 
1408 Blessed +8 
1409 Blessed +9 
1410 Blessed +10 
1500 Hollow 
1501 Hollow +1 
1502 Hollow +2 
1503 Hollow +3 
1504 Hollow +4 
1505 Hollow +5 
1506 Hollow +6
1507 Hollow +7 
1508 Hollow +8 
