337 [GEN:337] Voice Marker
730 [GEN:730] Quicksword Rachel
731 [GEN:731] Maldron the Assassin
732 [GEN:732] Evangelist Scion Waslo
735 [GEN:735] Swashbuckling Matelas
736 [GEN:736] Swashbuckling Matelas
737 [GEN:737] Swashbuckling Matelas
738 [GEN:738] Swashbuckling Matelas
740 [GEN:740] Carhillion of the Fold
741 [GEN:741] Steelheart Ellie
742 [GEN:742] Steel-willed Lorrie
743 [GEN:743] Drifter Swordsman Aidel
744 [GEN:744] Steel-willed Lorrie
745 [GEN:745] Drifter Swordsman Aidel
903 [GEN:903] Fume Knight
904 [GEN:904] Sir Alonne
905 [GEN:905] Blue Smelter Demon
977 [GEN:977] Forlorn (Scythe)
1000 [GEN:1000] Ashen Warrior
1100 [GEN:1100] Ashen Warrior
1101 [GEN:1101] Ashen Warrior
1102 [GEN:1102] Ashen Warrior
1103 [GEN:1103] Ashen Warrior
1200 [GEN:1200] Possessed Armor
1300 [GEN:1300] Ashen Warrior
1301 [GEN:1301] Ashen Warrior
1310 [GEN:1310] Ashen Warrior
1330 [GEN:1330] Ashen Warrior
1331 [GEN:1331] Ashen Warrior
1332 [GEN:1332] Ashen Warrior
1500 [GEN:1500] Ashen Warrior
1510 [GEN:1510] Ashen Warrior
1600 [GEN:1600] Barrel Carrier
1601 [GEN:1601] Barrel Carrier
1602 [GEN:1602] Barrel Carrier
1603 [GEN:1603] Barrel Carrier
1604 [GEN:1604] Barrel Carrier
1605 [GEN:1605] Barrel Carrier
1700 [GEN:1700] Possessed Armor
1710 [GEN:1710] Barrel Carrier
1711 [GEN:1711] Barrel Carrier
1750 [GEN:1750] Ashen Warrior
1800 [GEN:1800] Ashen Warrior
1801 [GEN:1801] Ashen Warrior
1910 [GEN:1910] Possessed Armor
1911 [GEN:1911] Possessed Armor
2000 [GEN:2000] Iron Warrior
2100 [GEN:2100] Barrel Carrier
2101 [GEN:2101] Barrel Carrier
2102 [GEN:2102] Barrel Carrier
2103 [GEN:2103] Barrel Carrier
2111 [GEN:2111] Ashen Warrior
2120 [GEN:2120] Ashen Warrior
2121 [GEN:2121] Ashen Warrior
2124 [GEN:2124] Ashen Warrior
2130 [GEN:2130] Ashen Warrior
2400 [GEN:2400] Possessed Armor
2500 [GEN:2500] Fume Sorcerer
2501 [GEN:2501] Fume Sorcerer
2510 [GEN:2510] Ashen Warrior
2511 [GEN:2511] Ashen Warrior
2512 [GEN:2512] Ashen Warrior
2600 [GEN:2600] Ashen Warrior
2601 [GEN:2601] Ashen Warrior
2602 [GEN:2602] Ashen Warrior
2603 [GEN:2603] Ashen Warrior
2604 [GEN:2604] Ashen Warrior
2700 [GEN:2700] Ashen Warrior
2800 [GEN:2800] Ashen Warrior
2801 [GEN:2801] Ashen Warrior
2805 [GEN:2805] Possessed Armor
2810 [GEN:2810] Ashen Warrior
2811 [GEN:2811] Ashen Warrior
2820 [GEN:2820] Ashen Warrior
2821 [GEN:2821] Ashen Warrior
2822 [GEN:2822] Ashen Warrior
2830 [GEN:2830] Possessed Armor
2900 [GEN:2900] Ashen Warrior
2901 [GEN:2901] Ashen Warrior
2911 [GEN:2911] Ashen Warrior
2912 [GEN:2912] Ashen Warrior
2920 [GEN:2920] Possessed Armor
3000 [GEN:3000] Barrel Carrier
3001 [GEN:3001] Barrel Carrier
3002 [GEN:3002] Barrel Carrier
3003 [GEN:3003] Barrel Carrier
3004 [GEN:3004] Barrel Carrier
3020 [GEN:3020] Iron Warrior
3030 [GEN:3030] Fume Sorcerer
3031 [GEN:3031] Fume Sorcerer
3040 [GEN:3040] Fume Sorcerer
3041 [GEN:3041] Fume Sorcerer
3100 [GEN:3100] Barrel Carrier
3101 [GEN:3101] Barrel Carrier
4000 [GEN:4000] Ashen Warrior
4100 [GEN:4100] Ashen Warrior
4120 [GEN:4120] Ashen Warrior
4121 [GEN:4121] Ashen Warrior
4200 [GEN:4200] Ashen Warrior
4400 [GEN:4400] Ashen Warrior
4401 [GEN:4401] Ashen Warrior
4500 [GEN:4500] Iron Warrior
4600 [GEN:4600] Possessed Armor
4601 [GEN:4601] Possessed Armor
4610 [GEN:4610] Ashen Warrior
4611 [GEN:4611] Ashen Warrior
4700 [GEN:4700] Iron Warrior
4800 [GEN:4800] Iron Warrior
4901 [GEN:4901] Barrel Carrier
4903 [GEN:4903] Barrel Carrier
4904 [GEN:4904] Barrel Carrier
4905 [GEN:4905] Barrel Carrier
4906 [GEN:4906] Barrel Carrier
5000 [GEN:5000] Iron Warrior
5001 [GEN:5001] Iron Warrior
5010 [GEN:5010] Iron Warrior
5110 [GEN:5110] Barrel Carrier
5111 [GEN:5111] Barrel Carrier
5130 [GEN:5130] Possessed Armor
5201 [GEN:5201] Ashen Warrior
5203 [GEN:5203] Ashen Warrior
5210 [GEN:5210] Barrel Carrier
5211 [GEN:5211] Barrel Carrier
5220 [GEN:5220] Barrel Carrier
5230 [GEN:5230] Possessed Armor
5231 [GEN:5231] Possessed Armor
5232 [GEN:5232] Possessed Armor
5501 [GEN:5501] Ashen Crawler
5502 [GEN:5502] Ashen Crawler
5600 [GEN:5600] Ashen Crawler
5601 [GEN:5601] Ashen Crawler
5602 [GEN:5602] Ashen Crawler
5610 [GEN:5610] Ashen Crawler
5700 [GEN:5700] Ashen Crawler
5800 [GEN:5800] Ashen Crawler
5801 [GEN:5801] Ashen Crawler
5900 [GEN:5900] Ashen Crawler
5901 [GEN:5901] Ashen Crawler
5950 [GEN:5950] Fume Sorcerer
6000 [GEN:6000] Ashen Crawler
6001 [GEN:6001] Ashen Crawler
6002 [GEN:6002] Ashen Crawler
